collection_id,handle,title,product_count_before,turf_parent_10380015927612_member,turf_children_members,gating_rule_for_parent
513321435452,french-fitness-meta-feeds,French Fitness - Meta Feeds,917,NO,"9878926557500, 9878927114556, 9878927573308",TAG NOT_EQUALS "REMOVE FROM FEEDS"
513321730364,remanufactured-meta-feeds,Remanufactured - Meta Feeds,1242,NO,none,"custom.condition_state EQUALS Remanufactured (turf is New)"
513321828668,other-brand-meta-feeds,Other Brand - Meta Feeds,295,NO,none,VENDOR NOT_EQUALS "French Fitness"
