grade,parent_product_weight_lbs,parent_shipping_weight_lbs,parent_description_table,child_product_weight_lbs,child_shipping_weight_lbs,child_copy,shopify_variant_weight_parent_lbs,shopify_variant_weight_child_lbs,prices_freight
V1 Base,156,156,156 lbs (70.8 kg),92.37,92.59,"156 lb full-roll weight (short_description + meta description)",75,75,75
V2 Plus,224,224,224 lbs (101.6 kg),242.5,(not set),(no weight in copy),75,75,75
V3 Premium,280,280,280 lbs (127.0 kg),297.6,(not set),(no weight in copy),75,75,75
