grade,sku,parent_variant_id,parent_inventory_item,parent_tracked,parent_qty,child_product_id,child_variant_id,child_inventory_item,child_tracked,child_qty,same_record
V1 Base,FF-AGSL,53039894462780,54898397151548,false,0,9878926557500,50749209182524,52598878601532,true,9998,NO
V2 Plus,FF-AGSL-V2,53039894495548,54898397184316,false,0,9878927114556,50749210100028,52598879912252,true,9997,NO
V3 Premium,FF-AGSL-V3,53039894528316,54898397217084,false,0,9878927573308,50749211083068,52598881616188,true,9997,NO
