id,custom_label_3,custom_label_4
FF-WBWS,p4_tail,
FF-WBB-RACK,p3_catalog,
FF-WBB-36,p4_tail,
FF-CUBP-C260,p4_tail,
FF-CUBP-C25,p4_tail,
FF-CUBP-C210,p4_tail,
FF-WBB-201,p4_tail,
FF-CUBP-B55,p4_tail,
FF-WBB-135,p4_tail,
FF-CUBP-B45,p4_tail,
FF-CUBP-B350,p4_tail,
FF-CUBP-B35,p4_tail,
FF-VO10BRH,p3_catalog,
FF-VMBR10,p4_tail,
FF-CUBP-B340,p4_tail,
FF-VKR20-PT,p3_catalog,
FF-CUBP-B320,p4_tail,
FF-VKB60,p4_tail,
FF-CUBP-B300,p4_tail,
FF-VKB560,p4_tail,
FF-VKB550,p4_tail,
FF-CUBP-B260,p4_tail,
FF-VKB55,p4_tail,
FF-CUBP-B25,p4_tail,
FF-VKB530,p4_tail,
FF-CUBP-B210,p4_tail,
FF-CT80,p4_tail,
FF-CT-100,p1_hero,
FF-VC200,p4_tail,
FF-CSTBR,p4_tail,
FF-URPSD95,p4_tail,
FF-URPSD90,p4_tail,
FF-URPSD85,p4_tail,
FF-URPSD80,p4_tail,
FF-URPSD75,p4_tail,
FF-URPSD70,p4_tail,
FF-COP70,p4_tail,
FF-URPSD65,p4_tail,
FF-URPSD60,p4_tail,
FF-URPSD55-75,p4_tail,
FF-URPSD55-100,p4_tail,
FF-URPSD55,p4_tail,
FF-COP450,p4_tail,
FF-URPSD50,p4_tail,
FF-URPSD5-75,p4_tail,
FF-COP395B,p4_tail,
FF-URPSD5-50,p4_tail,
FF-URPSD5-60,p4_tail,
FF-COP395,p4_tail,
FF-COP350,p4_tail,
FF-URPSD5-100,p4_tail,
FF-COP305B,p4_tail,
FF-URPSD45,p4_tail,
FF-COP305,p4_tail,
FF-URPSD40,p4_tail,
FF-URPSD35,p4_tail,
FF-COP260,p4_tail,
FF-URPSD150,p4_tail,
FF-COP235B,p4_tail,
FF-URPSD135,p4_tail,
FF-COP190,p4_tail,
FF-URPSD145,p4_tail,
FF-COP235,p4_tail,
FF-URPSD140,p4_tail,
FF-URPSD130,p4_tail,
FF-URPSD125,p4_tail,
FF-COP170,p4_tail,
FF-URPSD120,p4_tail,
FF-URPSD115,p4_tail,
FF-COP140,p4_tail,
FF-URPSD110,p4_tail,
FF-URPSD105-130,p4_tail,
FF-COP120,p4_tail,
FF-URPSD105,p4_tail,
FF-COBP55B,p4_tail,
FF-COBP55,p4_tail,
FF-U8SHD95,p4_tail,
FF-URPSD100,p4_tail,
FF-COP100,p4_tail,
FF-UBE100,p1_hero,UBE100 Series
FF-U8SHD90,p4_tail,
FF-U8SHD85,p4_tail,
FF-U8SHD80,p4_tail,
FF-COBP680B,p4_tail,
FF-UB200,p4_tail,
FF-COBP370B,p4_tail,
FF-U8SHD75,p4_tail,
FF-COBP370,p4_tail,
FF-U8SHD70,p4_tail,
FF-U8SHD65,p4_tail,
FF-U8SHD60,p4_tail,
FF-COBP340B,p4_tail,
FF-U8SHD55-100,p4_tail,
FF-U8SHD55,p4_tail,
FF-COBP320B,p4_tail,
FF-U8SHD50,p4_tail,
FF-COBP260B,p4_tail,
FF-U8SHD5-75,p2_core,
FF-COBP260,p4_tail,
FF-U8SHD5-60,p3_catalog,
FF-COBP230B,p4_tail,
FF-COBP230,p3_catalog,
FF-COBP190B,p4_tail,
FF-U8SHD5-50,p2_core,
FF-U8SHD45,p4_tail,
FF-U8SHD40,p4_tail,
FF-COBP190,p4_tail,
FF-U8SHD5-100,p2_core,
FF-U8SHD35,p4_tail,
FF-CMPTBBR,p2_core,
FF-CMFGM,p4_tail,
FF-CIOWP450,p4_tail,
FF-CIOWP395,p4_tail,
FF-U8SHD150,p4_tail,
FF-CIOWP350,p4_tail,
FF-U8SHD145,p4_tail,
FF-U8SHD140,p4_tail,
FF-CIOWP305,p4_tail,
FF-U8SHD135,p4_tail,
FF-U8SHD130,p3_catalog,
FF-U8SHD125,p4_tail,
FF-CIOWP260,p4_tail,
FF-U8SHD120,p4_tail,
FF-CIOWP235,p4_tail,
FF-U8SHD115,p4_tail,
FF-U8SHD110,p4_tail,
FF-CIOWP190,p4_tail,
FF-U8SHD105-130,p4_tail,
FF-CIOWP100,p4_tail,
FF-U8SHD105,p4_tail,
FF-U8SHD100,p4_tail,
FF-CIKB95,p4_tail,
FF-CIKB90,p4_tail,
FF-CIKB85,p4_tail,
FF-CIKB80,p4_tail,
FF-CIKB75,p4_tail,
FF-U12OWP450-V2,p4_tail,
FF-CIKB70,p4_tail,
FF-U12OWP45-V2,p4_tail,
FF-CIKB65,p4_tail,
FF-U12OWP350-V2,p4_tail,
FF-CIKB60,p4_tail,
FF-U12OWP35-V2,p4_tail,
FF-CIKB55,p4_tail,
FF-CIKB580,p2_core,
FF-U12OWP260-V2,p4_tail,
FF-CIKB570,p2_core,
FF-CIKB550,p2_core,
FF-CIKB530,p3_catalog,
FF-U12OWP190-V2,p4_tail,
FF-CIKB100,p3_catalog,
FF-TDR,p4_tail,
FF-TBR80,p4_tail,
FF-TBR40,p4_tail,
FF-C305R4MFAB,p4_tail,
FF-TBE200,p1_hero,
FF-BTPS2,p4_tail,
FF-TBAR-C90-SILVER,p2_core,
FF-BSM20,p2_core,Belt Squat Series
FF-TBAR-C90-BLACK,p2_core,
FF-BRC10,p4_tail,
FF-BR1550,p4_tail,
FF-T800,p4_tail,
FF-BR2050,p4_tail,
FF-BR2040,p4_tail,
FF-T900,p1_hero,T900 Series
FF-BR2030,p4_tail,
FF-SWJB-S8,p4_tail,
FF-STRBB95,p4_tail,
FF-T700,p4_tail,
FF-T600,p4_tail,
FF-BP515,p4_tail,
FF-BP-20SR,p4_tail,
FF-STRBB90,p4_tail,
FF-BP-20SBPR,p4_tail,
FF-STRBB85,p4_tail,
FF-STRBB80,p4_tail,
FF-BP-1BP-20KG,p4_tail,
FF-STRBB75,p4_tail,
FF-STRBB70,p4_tail,
FF-BOBP680B,p4_tail,
FF-STRBB65,p4_tail,
FF-STRBB60,p4_tail,
FF-BOBP55B,p4_tail,
FF-STRBB55,p4_tail,
FF-STRBB50,p4_tail,
FF-STRBB45,p4_tail,
FF-BOBP370B,p4_tail,
FF-STRBB40,p4_tail,
FF-BOBP340B,p4_tail,
FF-STRBB25-115,p2_core,
FF-STRBB125,p4_tail,
FF-STRBB120,p4_tail,
FF-BOBP320B,p4_tail,
FF-BOBP260B,p4_tail,
FF-BOBP230B,p4_tail,
FF-STRBB115,p4_tail,
FF-STRBB110,p4_tail,
FF-BOBP190B,p4_tail,
FF-STRBB100,p4_tail,
FF-STRBB-25-65,p4_tail,
FF-STRBB105,p4_tail,
FF-STRBB-20-60,p3_catalog,
FF-BDPB-BLUE,p4_tail,
FF-STRBB,p1_hero,
FF-STP3,p4_tail,
FF-ASR-PACK,p4_tail,
FF-ST100,p4_tail,
FF-ST10,p3_catalog,
FF-SSB,p3_catalog,
FF-SS20,p4_tail,
FF-ASR,p4_tail,
FF-AR,p2_core,
FF-AGSL-V3,p4_tail,
FF-APGT-1450,p4_tail,
FF-SR7,p4_tail,
FF-AFB,p2_core,
FF-ADSS,p4_tail,
FF-AGSL-V2,p4_tail,
FF-AGSL,p4_tail,
FF-SRFT8,p2_core,
FF-SPBS7,p3_catalog,
FF-SPB42,p4_tail,
FF-SPB36,p4_tail,
FF-SPB30,p4_tail,
FF-ABM40,p4_tail,
FF-8BWMHR,p4_tail,
FF-SPB,p3_catalog,
FF-86OB-2000,p2_core,
FF-86OB-1500,p2_core,
FF-86OB,p3_catalog,
FF-7OB-FSR90,p4_tail,
FF-72OB-1000,p3_catalog,
FF-72OB,p4_tail,
FF-5-80-ADS,p4_tail,
FF-SMWB-S6-620,p3_catalog,
FF-SMWB-S10-430,p2_core,
FF-4TSSR-3,p4_tail,
FF-SMOSB,p4_tail,
FF-SLRASS,p4_tail,
FF-4SVDR-16,p4_tail,
FF-3TSDB10,p4_tail,
FF-4TSSR-2,p4_tail,
FF-SKI,p3_catalog,
FF-4TSSR,p4_tail,
FF-3TS15PDR,p4_tail,
FF-3TS12PDR,p4_tail,
FF-3TKR,p2_core,
FF-SHR80-MAB30,p4_tail,
FF-3THDR,p4_tail,
FF-395R4MFAB,p4_tail,
FF-31SFPB,p2_core,
FF-2TSDB10,p3_catalog,
FF-SFPB-16-20-24,p3_catalog,
FF-SHR80,p1_hero,
FF-305R4MFAB,p4_tail,
FF-2TSDB10-V2,p3_catalog,
FF-235R4MFAB,p4_tail,
FF-SCIWP450,p4_tail,
FF-SCIWP350,p4_tail,
FF-SCIWP260,p4_tail,
FF-SCIWP190,p4_tail,
