# Lifecycle exclusion set. Tim, 2026-09-22, "Re: Phase 2 feed build" catalog-state
# rider: "Both PLCP SKUs join the lifecycle exclusion set: discontinued template =
# excluded from every feed output, no manual row edits. Yusra: fold them into the
# guard script's expectations so their disappearance from the next file registers
# as correct, not as a count anomaly."
#
# The exclusion itself comes from Shopify (UNLISTED status and the discontinued
# template). This file only tells the id diff and the count guard that the drop is
# expected: a listed SKU leaving the feed is coded dropped:lifecycle_discontinued,
# and a listed SKU still emitting fails the run.
#
# Add a row in the same commit as the ruling that classifies the product
# discontinued, with the ruling's date and thread.
sku,product_id,classified,source
FFT-PLCP,9878641672508,2026-09-22,"Out of Stock x3 machines + discontinued SOP"
FFD-PLCP,9878465249596,2026-09-22,"Out of Stock x3 machines + discontinued SOP"
