feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfrenchfitness,10414127087932,FF-STW-WB-3,10414127087932,French Fitness StudioWall 3-Bay Wall-Based Modular Storage & Training ,NO
googleshoppingfrenchfitness,9879098753340,FF-X12,9879098753340,French Fitness X12 4 Station Functional Trainer & Home Gym System - fo,NO
googleshoppingfrenchfitness,10019813589308,FF-HVD-GDR500,10019813589308,French Fitness Colorful Hex Vinyl 48 Pair Dumbbell Set w/ Body-Solid G,YES
googleshoppingfrenchfitness,10124211355964,FF-VAIL-TR,10124211355964,"French Fitness Vail Torso Rotation - Commercial Grade, Lifetime Frame ",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-123-2T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-123-3T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-151-2T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-151-3T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-48-2T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-48-3T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-77-2T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-77-3T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-94-2T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,10269254254908,FF-MSS-94-3T,10269254254908,"French Fitness Monster Universal Storage System - Commercial Grade, Li",YES
googleshoppingfrenchfitness,9878464627004,FF-HPB100,9878464627004,"French Fitness Heavy Punching Bag, 100 lb - Commercial Grade, 1-Year L",YES
googleshoppingfs,10012639789372,ST-10TRX-110-24IN-79,10012639789372,"Star Trac 10 Series TRX Freerunner w/24"" Touch Display - Commercial Gr",YES
googleshoppingfs,10012673343804,ST-10TRX-110-LED-MI-79,10012673343804,"Star Trac 10 Series Freerunner w/LED - Commercial Grade, Full Manufact",YES
googleshoppingfs,10012746219836,ST-8TRX-110-24IN-60,10012746219836,"Star Trac 8 Series TRX Treadmill w/24"" Touch Display - Commercial Grad",YES
googleshoppingfs,10012773548348,ST-8TRX-110-LED-MI-60,10012773548348,"Star Trac 8 Series TRX Treadmill w/LED - Commercial Grade, Full Manufa",YES
googleshoppingfs,10104579850556,ST-6TR-110-LCD,10104579850556,"Star Trac 6 Series 6TR Treadmill w/LCD - Black - Commercial Grade, Ful",YES
googleshoppingfs,10129933762876,ST-6TR-110-24IN,10129933762876,"Star Trac 6 Series 6TR Treadmill w/24"" Embedded Display - Black - Comm",YES
googleshoppingfs,10138120585532,ST-6TR-110-LED,10138120585532,"Star Trac 6 Series 6TR Treadmill w/LED - Black - Commercial Grade, Ful",YES
googleshoppingfs,10138129301820,ST-6TR-110-16IN,10138129301820,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black - Comm",YES
googleshoppingfs,10143915147580,ST-8TR-110-24IN-60,10143915147580,"Star Trac 8 Series TR Treadmill w/24"" Touch Display - Commercial Grade",YES
googleshoppingfs,10143925928252,ST-8TR-110-LED-MI-60,10143925928252,"Star Trac 8 Series TR Treadmill w/LED - Commercial Grade, Full Manufac",YES
googleshoppingfs,10145609482556,ST-8RDE-16IN-60,10145609482556,"Star Trac 8 Series Rear Drive Elliptical w/16"" Touch Display - Commerc",YES
