current_id,new_id_sku,mpn,title,price,condition,availability
9878906241340,ST-8VS-16-ATSC,9-6160-8VS-A15-60B,"Star Trac 8 Series Versastrider w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878905291068,ST-8VB-79QS,9-7555-8VB-79QS,"Star Trac Virtual Bike Indoor Cycle w/21"" Touchscreen - Commercial Grade, Full Manufacturer's Warranty",5999 USD,new,in stock
9878904209724,ST-8UB-16-ATSC,9-8140-8UB-A15-60B,"Star Trac 8 Series Upright Bike w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",8499 USD,new,in stock
9878902636860,ST-8TRX-20-ATSC,9-9291-8TRX-A20-60B,"Star Trac 8 Series TRX Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878893527356,ST-8RB-16-ATSC,9-8150-8RB-A15-60B,"Star Trac 8 Series Recumbent Bike w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",9099 USD,new,in stock
9878900179260,ST-8TR-20-ATSC,9-9281-8TR-110-LCD-60BLK,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878900179260,ST-8TR-20-ATSC-OOB,9-9281-8TR-110-LCD-60BLK,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,out of stock
9878898540860,ST-8RDE-16-ATSC,9-6150-8RDE-A15-60B,"Star Trac 8 Series Rear Drive Elliptical w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",12799 USD,new,in stock
9878898540860,ST-8RDE-16-ATSC-OOB,9-6150-8RDE-A15-60B,"Star Trac 8 Series Rear Drive Elliptical w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",12799 USD,new,out of stock
9878891036988,ST-8CT-16-ATSC,9-6140-8CT-A15-60B,"Star Trac 8 Series Cross Trainer w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",11699 USD,new,in stock
9878889857340,ST-4UB-15-ATSC,9-3180-4UB-15-ATSC-60BLK,"Star Trac 4 Series Upright Bike w/15"" Embedded Display - Black - High-Quality, Full Manufacturer's Warranty",6899 USD,new,in stock
9878887792956,ST-4UB-10IN,9-3180-4UB-10IN-60BLK,"Star Trac 4 Series Upright Bike w/10"" LCD - Black - High-Quality, Full Manufacturer's Warranty",2699 USD,new,in stock
9878886285628,ST-4UB-10-TS,9-3180-4UB-10-TS-60BLK,"Star Trac 4 Series Upright Bike w/10"" Touch Display - Black - High-Quality, Full Manufacturer's Warranty",3199 USD,new,in stock
9878885237052,ST-4TR-15-ATSC,9-3613-4TR-110-15A-15-ATSC-60B,"Star Trac 4 Series Treadmill w/15"" Embedded Display - Black - High-Quality, Full Manufacturer's Warranty",8499 USD,new,in stock
9878882386236,ST-4TR-10IN,9-3613-4TR-110-15A-10IN-60BLK,"Star Trac 4 Series Treadmill w/10"" LCD - Black - High-Quality, Full Manufacturer's Warranty",3799 USD,new,in stock
9878880747836,ST-4TR-10-TS,9-3613-4TR-110-15A-10-TS-60BLK,"Star Trac 4 Series Treadmill w/10"" Touch Display - Black - High-Quality, Full Manufacturer's Warranty",4799 USD,new,in stock
9878878519612,ST-4RB-10-TS,9-3190-4RB-10-TS-60BLK,"Star Trac 4 Series Recumbent Bike w/10"" Touch Display - Black - High-Quality, Full Manufacturer's Warranty",3549 USD,new,in stock
9878879830332,ST-4RB-15-ATSC,9-3190-4RB-15-ATSC-60BLK,"Star Trac 4 Series Recumbent Bike w/15"" Embedded Display - Black - High-Quality, Full Manufacturer's Warranty",7259 USD,new,in stock
9878878945596,ST-4RB-10IN,9-3190-4RB-10IN-60BLK,"Star Trac 4 Series Recumbent Bike w/10"" LCD - Black - High-Quality, Full Manufacturer's Warranty",2999 USD,new,in stock
9878877929788,ST-4CT-15-ATSC,9-4080-4CT-15-ATSC-60BLK,"Star Trac 4 Series Cross Trainer w/15"" Embedded Display - Black - High-Quality, Full Manufacturer's Warranty",7799 USD,new,in stock
9878876815676,ST-4CT-10IN,9-4080-4CT-10IN-60BLK,"Star Trac 4 Series Cross Trainer w/10"" LCD - Black - High-Quality, Full Manufacturer's Warranty",3299 USD,new,in stock
9878876029244,ST-4CT-10-TS,9-4080-4CT-10-TS-60BLK,"Star Trac 4 Series Cross Trainer w/10"" Touch Display - Black - High-Quality, Full Manufacturer's Warranty",4099 USD,new,in stock
9878875341116,ST-4060-KINTP0,9-4060-KINTP0,"Star Trac S Series Cross Trainer w/LCD - Black - Commercial Grade, Full Manufacturer's Warranty",5899 USD,new,in stock
9878874325308,ST-3150-KINTP0-SILVER,9-3150-KINTP0,"Star Trac S Series Recumbent Bike w/LCD - Silver - Remanufactured in USA, 1-Year Parts & Labor Warranty",3299 USD,refurbished,in stock
9878873243964,ST-3150-KINTP0,9-3150-KINTP0,"Star Trac S Series Recumbent Bike w/LCD - Black - Commercial Grade, Full Manufacturer's Warranty",3599 USD,new,in stock
9878873112892,elite6230,ST6230,"Star Trac Elite 6230 Pro Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4499 USD,refurbished,out of stock
9878872097084,ST-3140-KINTP0,9-3140-KINTP0,"Star Trac S Series Upright Bike w/LCD - Black - Commercial Grade, Full Manufacturer's Warranty",3029 USD,new,in stock
9878869737788,ST-10TRX-20-ATSC,9-9271-10TRX-110-19-ATSC,"Star Trac 10 Series Freerunner Treadmill w/20"" Embedded Display - Commercial Grade, Full Manufacturer's Warranty",16999 USD,new,in stock
9878869147964,ST-10TRX-19-REMAN,ST-10TRX-19-REMAN,"Star Trac 10 Series Freerunner Treadmill w/19"" Embedded Display - Remanufactured in USA, 1-Year Parts & Labor Warranty",7499 USD,refurbished,out of stock
9878802334012,SM-TC5,SM-TC5,"StairMaster TreadClimber 5 - Remanufactured in USA, 1-Year Parts & Labor Warranty",4799 USD,refurbished,out of stock
10440921809212,PRECOR-C404EC,PRECOR-C404EC,"Precor C404EC Experience Strength C-Line Chest Press - Remanufactured in USA, 1-Year Parts & Labor Warranty",3699 USD,refurbished,in stock
10234173653308,ST-6UB-LCD-60,9-8180-6UB-LCD-60,"Star Trac 6 Series Upright Bike w/LCD - Commercial Grade, Full Manufacturer's Warranty",3399 USD,new,in stock
10234029703484,ST-6UB-LED-60,9-8180-6UB-LED-60,"Star Trac 6 Series Upright Bike w/LED - Commercial Grade, Full Manufacturer's Warranty",3829 USD,new,in stock
10233224855868,ST-6UB-16IN-60,9-8180-6UB-16IN-60,"Star Trac 6 Series Upright Bike w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",8499 USD,new,in stock
10231481499964,ST-6RB-LCD-60,9-8190-6RB-LCD-60,"Star Trac 6 Series Recumbent Bike w/LCD - Commercial Grade, Full Manufacturer's Warranty",3799 USD,new,in stock
10227283624252,ST-6RB-LED-60,9-8190-6RB-LED-60,"Star Trac 6 Series Recumbent Bike w/LED - Commercial Grade, Full Manufacturer's Warranty",4249 USD,new,in stock
10227267469628,ST-6RB-16IN-60,9-8190-6RB-16IN-60,"Star Trac 6 Series Recumbent Bike w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",8999 USD,new,in stock
10225691263292,ST-6CT-LCD-60,9-6240-6CT-LCD-60,"Star Trac 6 Series Cross Trainer w/LCD - Commercial Grade, Full Manufacturer's Warranty",5799 USD,new,in stock
10225641554236,ST-6CT-LED-60,9-6240-6CT-LED-60,"Star Trac 6 Series Cross Trainer w/LED - Commercial Grade, Full Manufacturer's Warranty",6249 USD,new,in stock
10225631887676,ST-6CT-16IN-60,9-6240-6CT-16IN-60,"Star Trac 6 Series Cross Trainer w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",10299 USD,new,in stock
10176330301756,ST-8UB-LED-60,9-8160-8UB-LED-60,"Star Trac 8 Series Upright Bike w/LED - Commercial Grade, Full Manufacturer's Warranty",5199 USD,new,in stock
10175768723772,ST-8RB-LED-60,9-8170-8RB-LED-60,"Star Trac 8 Series Recumbent Bike w/LED - Commercial Grade, Full Manufacturer's Warranty",5949 USD,new,in stock
