feed,product_id,variant_id,current_id,proposed_id,sku,variants_on_product,rollout_status,legacy_gmc_id,in_tims_114
googleshoppingfrenchfitness,10269254254908,52746451157308,10269254254908,FF-MSS-123-2T,FF-MSS-123-2T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451124540,10269254254908,FF-MSS-123-3T,FF-MSS-123-3T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451222844,10269254254908,FF-MSS-151-2T,FF-MSS-151-2T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451190076,10269254254908,FF-MSS-151-3T,FF-MSS-151-3T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746450960700,10269254254908,FF-MSS-48-2T,FF-MSS-48-2T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746450927932,10269254254908,FF-MSS-48-3T,FF-MSS-48-3T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451026236,10269254254908,FF-MSS-77-2T,FF-MSS-77-2T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746450993468,10269254254908,FF-MSS-77-3T,FF-MSS-77-3T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451091772,10269254254908,FF-MSS-94-2T,FF-MSS-94-2T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,10269254254908,52746451059004,10269254254908,FF-MSS-94-3T,FF-MSS-94-3T,10,hold_ff_variant,FF-MSS-151-2T,YES
googleshoppingfrenchfitness,9878464627004,50748131574076,9878464627004,FF-HPB100,FF-HPB100,1,(unset),,YES
googleshoppingfrenchfitness,9879098753340,50749523198268,9879098753340,FF-X12,FF-X12,1,(unset),,NO
googleshoppingfs,10012639789372,51646296916284,10012639789372,ST-10TRX-110-24IN-79,ST-10TRX-110-24IN-79,1,pending_approval_star_trac,,YES
googleshoppingfs,10012673343804,51646361698620,10012673343804,ST-10TRX-110-LED-MI-79,ST-10TRX-110-LED-MI-79,1,pending_approval_star_trac,,YES
googleshoppingfs,10012746219836,51646594974012,10012746219836,ST-8TRX-110-24IN-60,ST-8TRX-110-24IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10012773548348,51646704582972,10012773548348,ST-8TRX-110-LED-MI-60,ST-8TRX-110-LED-MI-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10104579850556,51934896521532,10104579850556,ST-6TR-110-LCD,ST-6TR-110-LCD,1,pending_approval_star_trac,,YES
googleshoppingfs,10129933762876,52028102345020,10129933762876,ST-6TR-110-24IN,ST-6TR-110-24IN,1,pending_approval_star_trac,,YES
googleshoppingfs,10138120585532,52067475620156,10138120585532,ST-6TR-110-LED,ST-6TR-110-LED,1,pending_approval_star_trac,,YES
googleshoppingfs,10138129301820,52067487842620,10138129301820,ST-6TR-110-16IN,ST-6TR-110-16IN,1,pending_approval_star_trac,,YES
googleshoppingfs,10143915147580,52100845502780,10143915147580,ST-8TR-110-24IN-60,ST-8TR-110-24IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10143925928252,52100896817468,10143925928252,ST-8TR-110-LED-MI-60,ST-8TR-110-LED-MI-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10145609482556,52109573488956,10145609482556,ST-8RDE-16IN-60,ST-8RDE-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10145616986428,52109726908732,10145616986428,ST-8RDE-LED-60,ST-8RDE-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10145641857340,52109844218172,10145641857340,ST-8CT-16IN-60,ST-8CT-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10145740325180,52110283899196,10145740325180,ST-8CT-LED-60,ST-8CT-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10175750242620,52259955835196,10175750242620,ST-8RB-16IN-60,ST-8RB-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10175768723772,52260060725564,10175768723772,ST-8RB-LED-60,ST-8RB-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10176330301756,52264865628476,10176330301756,ST-8UB-LED-60,ST-8UB-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10177568473404,52271149580604,10177568473404,ST-8UB-16IN-60,ST-8UB-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10177616675132,52271524086076,10177616675132,ST-8VS-16IN-60,ST-8VS-16IN-60,1,pending_approval_star_trac,,YES
