metaobject_id,name,current,correct,products,product_id,sku,condition_state,status,in_feed_collection
gid://shopify/Metaobject/125114581308,Golden Designs GDI-8123-01 Carinthia 3 Person Hybrid (PureTech Full Sp,New,new,1,9878781002044,GDI-8123-01,New,ACTIVE,no
gid://shopify/Metaobject/125114614076,GoldenDesigns GDI-8125-01 Gargellen 5 Person Hybrid (PureTech Full Spe,New,new,1,9878781952316,GDI-8125-01,New,ACTIVE,no
gid://shopify/Metaobject/125114679612,Golden Designs Narvik 2 Person Outdoor-Indoor Traditional Sauna (GDI-8,New,new,1,9878782837052,GDI-8202-01,New,ACTIVE,no
gid://shopify/Metaobject/125114745148,Golden Designs GDI-8203-01 Drammen 3 Person Outdoor-Indoor Traditional,New,new,1,9878783918396,GDI-8203-01,New,ACTIVE,no
gid://shopify/Metaobject/125114810684,Golden Designs GDI-8206-01 Bergen 6 Person Outdoor-Indoor Traditional ,New,new,1,9878785622332,GDI-8206-01,New,ACTIVE,no
gid://shopify/Metaobject/125114843452,Golden Designs GDI-8222-01 Nora 2 Person Outdoor-Indoor PureTech Hybri,New,new,1,9878786408764,GDI-8222-01,New,ACTIVE,no
gid://shopify/Metaobject/125114908988,Golden Designs GDI-8223-01 Visby 3 Person Outdoor-Indoor PureTech Hybr,New,new,1,9878787162428,GDI-8223-01,New,ACTIVE,no
gid://shopify/Metaobject/125114974524,Golden Designs GDI-8226-01 Karlstad 6 Person Outdoor-Indoor PureTech H,New,new,1,9878787916092,GDI-8226-01,New,ACTIVE,no
gid://shopify/Metaobject/125115138364,GoldenDesigns Reserve Edition GDI-8230-01 Full Spectrum with Himalayan,New,new,1,9878788538684,GDI-8230-01,New,ACTIVE,no
gid://shopify/Metaobject/125115171132,GoldenDesigns Reserve Edition GDI-8260-01 Full Spectrum with Himalayan,New,new,1,9878789194044,GDI-8260-01,New,ACTIVE,no
gid://shopify/Metaobject/125115269436,Golden Designs GDI-8330-01 Soria Near Zero EMF Full Spectrum and Harvi,New,new,1,9878789751100,GDI-8330-01,New,ACTIVE,no
gid://shopify/Metaobject/125115334972,Golden Designs GDI-8360-01 Toledo Near Zero EMF Full Spectrum and Harv,New,new,1,9878790471996,GDI-8360-01,New,ACTIVE,no
gid://shopify/Metaobject/125115531580,Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sau,New,new,1,9878791192892,GDI-8503-01,New,ACTIVE,no
gid://shopify/Metaobject/125115564348,Golden Designs GDI-8506-01 Kaarina 6 Person Outdoor Traditional Sauna ,New,new,1,9878792012092,GDI-8506-01,New,ACTIVE,no
gid://shopify/Metaobject/125115597116,Golden Designs GDI-8523-01 Loviisa 3 Person Hybrid (PureTech Full Spec,New,new,1,9878792667452,GDI-8523-01,New,ACTIVE,no
