id,promotion_id
FF-FSR90,FSS_SEP2026_10
FFM-CLPS,FSS_SEP2026_10
FF-MFAB-ACLE-V2,FSS_SEP2026_10
FFS-SBE,FSS_SEP2026_10
FFS-SHC,FSS_SEP2026_10
FFS-DAP,FSS_SEP2026_10
FFS-HAA,FSS_SEP2026_10
FFS-LPDLR,FSS_SEP2026_10
FFS-PFRD,FSS_SEP2026_10
FFT-PCFR,FSS_SEP2026_10
FF-SRFT8,FSS_SEP2026_10
FF-APGT-1450,FSS_SEP2026_10
FF-FSR50,FSS_SEP2026_10
FF-FSR60,FSS_SEP2026_10
FF-FSR70,FSS_SEP2026_10
FFB-OSR,FSS_SEP2026_10
