Type,Page URL
product,https://www.fitnesssuperstore.com/products/schwinn-aetherion-s-9-7602-aeth-s-zone-bike-w-zone-display-new
product,https://www.fitnesssuperstore.com/products/schwinn-aetherion-r-9-7610-kintp0-bike-new
product,https://www.fitnesssuperstore.com/products/schwinn-aetherion-s-9-7600-kintp0-bike-new
product,https://www.fitnesssuperstore.com/products/sportsart-a990-plate-loaded-glute-trainer-new
product,https://www.fitnesssuperstore.com/products/fitness-superstore-gift-certificate
product,https://www.fitnesssuperstore.com/products/life-fitness-plate-loaded-linear-leg-press-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-ub600-upright-bike-w-led-console-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ub620t-upright-bike-w-15-touch-console-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-50-lbs-new
product,https://www.fitnesssuperstore.com/products/star-trac-6-series-upright-bike-w-lcd-new
product,https://www.fitnesssuperstore.com/products/sportsart-e80c-residential-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-c55u-residential-upright-bike-new
product,https://www.fitnesssuperstore.com/products/sportsart-c55r-residential-recumbent-bike-new
product,https://www.fitnesssuperstore.com/products/nautilus-plate-loaded-9np-l1110-tilt-seat-calf-new
product,https://www.fitnesssuperstore.com/products/french-fitness-t300-commercial-treadmill-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ub300-upright-bike-w-led-console-plug-in-new
product,https://www.fitnesssuperstore.com/products/french-fitness-wall-mounted-rack-functional-trainer-1-1-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ub310-upright-bike-w-led-console-cordless-new
product,https://www.fitnesssuperstore.com/products/nautilus-plate-loaded-9np-l3140-incline-row-new
product,https://www.fitnesssuperstore.com/products/french-fitness-4-aerobic-stepper-new
product,https://www.fitnesssuperstore.com/products/french-fitness-wall-mounted-rack-functional-trainer-2-1-new
product,https://www.fitnesssuperstore.com/products/sportsart-c576r-eco-natural-recumbent-cycle-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-70-lbs-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-100-lbs-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-120-lbs-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-140-lbs-new
product,https://www.fitnesssuperstore.com/products/french-fitness-urethane-olympic-weight-plate-v2-set-170-lbs-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2cpx-2-series-ii-chest-press-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2ftx-series-2-functional-trainer-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2iotx-series-2-inner-and-outer-thigh-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2latx-series-2-lat-and-mid-row-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2lecx-series-2-leg-curl-and-extension-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2lpcx-series-2-leg-press-and-calf-raise-new
product,https://www.fitnesssuperstore.com/products/french-fitness-vail-glute-machine-new
product,https://www.fitnesssuperstore.com/products/technogym-synchro-1000-elliptical-w-unity-3-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/technogym-excite-vario-1000-w-unity-3-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-rack-rig-96-junction-bar-crossmember-new
product,https://www.fitnesssuperstore.com/products/french-fitness-rubber-flooring-ramps-beveled-edge-transition-strip-12mm-new
product,https://www.fitnesssuperstore.com/products/total-gym-elevate-core-adj-trainer-new
product,https://www.fitnesssuperstore.com/products/precor-efx-883-elliptical-crosstrainer-w-p84-console-remanufactured
product,https://www.fitnesssuperstore.com/products/precor-efx-885-elliptical-crosstrainer-w-p84-console-remanufactured
product,https://www.fitnesssuperstore.com/products/star-trac-6-series-6tr-treadmill-w-lcd-black-new
product,https://www.fitnesssuperstore.com/products/matrix-endurance-upright-bike-w-premium-led-console-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-endurance-elliptical-w-premium-led-console-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-endurance-stepper-w-premium-led-console-remanufactured
product,https://www.fitnesssuperstore.com/products/sportsart-g576r-eco-powr-recumbent-cycle-new
product,https://www.fitnesssuperstore.com/products/french-fitness-marin-plate-loaded-incline-super-pec-fly-new
product,https://www.fitnesssuperstore.com/products/precor-efx-863-elliptical-w-converging-crossramp-p62-console-remanufactured
product,https://www.fitnesssuperstore.com/products/rig-wall-mounted
product,https://www.fitnesssuperstore.com/products/rig-floor-mounted
product,https://www.fitnesssuperstore.com/products/technogym-excite-unity-run-600-treadmill-w-unity-3-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/body-solid-bfct1b-cross-trainer-elliptical-new
product,https://www.fitnesssuperstore.com/products/body-solid-bfinver10b-best-fitness-inversion-table-new
