group_title,entry_id,handle,updated,fields_filled,products_referencing,referencing_product_handles,differing_fields,role,disposition,risk
"French Fitness Urethane 8 Sided Hex Dumbbell Set, 5-60 lbs - Blank / No Logo (New)",275975897404,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new,2026-06-30,1,0,,features | other_tech_specs | warranty_info,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
"French Fitness Urethane 8 Sided Hex Dumbbell Set, 5-60 lbs - Blank / No Logo (New)",275976585532,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new-1,2026-06-30,4,1,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new [UNLISTED],features | other_tech_specs | warranty_info,KEEP-canonical,KEEP,LOW
Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sauna - Canadian Red Cedar Interior (New),136506638652,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new,2025-03-09,4,0,,tech_specs,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sauna - Canadian Red Cedar Interior (New),140637733180,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new-1,2025-03-27,4,1,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new [ACTIVE],tech_specs,KEEP-canonical,KEEP,LOW
Hammer Strength 3 Tier Dumbbell Rack (Remanufactured),136432812348,hammer-strength-3-tier-dumbbell-rack-remanufactured,2025-03-08,4,0,,features | benefits | tech_specs | buying_guide | frequently_asked_questions,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
Hammer Strength 3 Tier Dumbbell Rack (Remanufactured),136432845116,hammer-strength-3-tier-dumbbell-rack-remanufactured-1,2026-03-14,7,1,hammer-strength-3-tier-dumbbell-rack-remanufactured [UNLISTED],features | benefits | tech_specs | buying_guide | frequently_asked_questions,KEEP-canonical,KEEP,LOW
Life Fitness Integrity SE3 HD Elliptical (Remanufactured),136336376124,life-fitness-integrity-se-3-hd-elliptical-remanufactured,2026-03-24,5,0,,other_features | tech_specs,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
Life Fitness Integrity SE3 HD Elliptical (Remanufactured),136336671036,life-fitness-integrity-se-3-hd-elliptical-remanufactured-1,2026-03-24,6,1,life-fitness-integrity-se3-hd-elliptical-remanufactured [ACTIVE],other_features | tech_specs,KEEP-canonical,KEEP,LOW
Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),136840479036,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new,2025-03-12,4,0,,features | other_features | tech_specs | weight_stacks | buying_guide | shipping_dims_weight_2 | warranty_info | shipping_dims_weight,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),146348835132,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new-1,2025-10-15,8,1,nautilus-inspiration-vertical-row-9-ipvr5-60bz-new [ACTIVE],features | other_features | tech_specs | weight_stacks | buying_guide | shipping_dims_weight_2 | warranty_info | shipping_dims_weight,KEEP-canonical,KEEP,LOW
SportsArt T645L Performance Treadmill (New),135975698748,sports-art-t-645-l-performance-treadmill-new,2025-03-04,4,0,,warranty_info,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
SportsArt T645L Performance Treadmill (New),135975829820,sports-art-t-645-l-performance-treadmill-new-1,2026-08-04,4,1,sportsart-t645l-performance-treadmill-new [ACTIVE],warranty_info,KEEP-canonical,KEEP,LOW
"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",146935873852,stairmaster-8-series-gauntlet-x-w-led-display-9-5395-8-gx-16-in-60-new,2025-04-27,5,0,,features | other_features | tech_specs | shipping_dims_weight,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",146939248956,stairmaster-8-series-gauntlet-x-w-16-touch-display-new,2025-09-04,6,1,stairmaster-8-series-gauntlet-x-w-16-touch-display-new [ARCHIVED],features | other_features | tech_specs | shipping_dims_weight,KEEP-canonical,KEEP,LOW
"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",173610959164,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,2025-10-07,5,0,,features | other_features,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",182389866812,star-trac-6-series-6-tr-treadmill-w-16-embedded-display-black-new,2026-02-05,5,1,star-trac-6-series-6tr-treadmill-w-16-embedded-display-black-new [ACTIVE],features | other_features,KEEP-canonical,KEEP,LOW
Versaclimber ALXP Versa Climber (New),135764443452,versaclimber-alxp-versa-climber-new,2026-03-24,5,1,versaclimber-alxp-versa-climber-new [ARCHIVED],features,KEEP-primary,MERGE CANDIDATE,HIGH-two live products
Versaclimber ALXP Versa Climber (New),135764869436,versaclimber-alxp-versa-climber-new-1,2026-03-24,5,1,versaclimber-alxp-versa-climber-new-1 [ARCHIVED],features,HOLD-second live ref,MERGE CANDIDATE,HIGH-two live products
